¿En dónde viven los Zulus?,África del Sur
¿De qué corriente pictórica era Picasso?,Cubismo
¿En dónde se realizaron los juegos olímpicos de 1992?,Barcelona
¿Qué país americano era el único que no era colonia a fines del siglo XVIII?,EU
¿En qué país gobernó el rey Faruk I?,Egipto
Para que a un grupo de personas se les pueda llamar comité deben haber por lo menos…,3 personas
En 1935 Irán se conocía con el nombre de…,Persia
¿Cuáles son las tres disciplinas de las que consta el Triatlón?,Correr bici y natación
¿Cuántas veces due Gandhi Primer Ministro de la India?,2
¿En qué país de encuentra el Palacio de Versalles?,Francia
¿En qué año nació William Shakespeare?,1564
¿Cuál es el máximo puntaje que se puede obtener en boliche?,300 puntos
¿Cuál es el nombre de la ciudad en la que nació Tales de Mileto?,Mileto
¿Qué es un misógino?,El que odia a las mujeres
¿Quién fue derrotado en la batalla de Waterloo?,Napoleón Bonaparte
